2019.06.16 18:01:03.039 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:03.614 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:04.040 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:04.614 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:05.040 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:05.615 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:06.040 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:06.616 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:07.041 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:07.617 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:08.041 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:08.617 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:09.042 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:09.618 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:10.043 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:10.618 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:11.043 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:11.619 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:12.044 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:12.619 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:13.044 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:13.624 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:14.044 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:14.624 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:15.044 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:15.624 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:16.045 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:16.625 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:17.046 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:17.626 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:18.047 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:18.627 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:19.047 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:19.628 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:20.049 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:20.629 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:21.049 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:21.631 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:22.050 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:22.631 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:23.051 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:23.632 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:24.053 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:24.633 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:25.053 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:25.634 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:26.054 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:26.634 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:27.054 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:27.635 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:28.055 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:28.635 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:29.056 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:29.636 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:30.058 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:30.636 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:31.059 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:31.637 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:32.060 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:32.638 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:33.061 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:33.484 INFO  Server.Server - Client accepted Socket[addr=/192.168.244.1,port=55106,localport=5400]!
2019.06.16 18:01:33.485 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.244.1,port=55106,localport=5400]!
2019.06.16 18:01:33.490 INFO  Server.Server - Maze created. Number of rows:20, number of columns:20. Generated by:MyMazeGenerator
2019.06.16 18:01:33.490 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.244.1,port=55106,localport=5400]!
2019.06.16 18:01:34.063 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:34.336 INFO  Server.Server - Client accepted Socket[addr=/192.168.244.1,port=55107,localport=5401]!
2019.06.16 18:01:34.337 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.244.1,port=55107,localport=5401]!
2019.06.16 18:01:34.357 INFO  Server.Server - Maze solve successfully by ServerStrategySearchProblem, with the searching algorithm: BestFirstSearch
2019.06.16 18:01:34.357 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.244.1,port=55107,localport=5401]!
2019.06.16 18:01:34.485 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:35.337 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:35.485 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:36.338 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:36.486 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:37.339 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:37.488 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:38.340 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:38.489 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:39.342 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:39.489 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:40.342 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:40.489 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:41.342 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:41.490 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:42.343 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:42.492 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:43.343 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:43.493 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:44.343 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:44.493 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:45.344 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:45.493 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:46.345 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:46.495 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:47.346 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:47.496 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:48.347 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:48.497 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:49.348 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:49.497 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:50.348 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:50.499 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:51.350 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:51.500 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:52.351 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:52.500 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:53.351 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:53.500 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:54.352 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:54.501 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:55.353 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:55.502 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:56.354 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:56.503 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:57.354 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:57.503 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:58.355 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:58.505 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:59.355 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:59.505 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:00.356 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:00.505 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:01.357 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:01.506 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:02.357 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:02.507 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:03.358 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:03.508 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:04.358 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:04.509 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:05.358 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:05.511 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:06.359 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:06.512 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:07.360 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:07.512 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:08.360 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:08.513 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:09.361 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:09.513 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:10.362 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:10.514 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:11.362 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:11.515 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:12.363 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:12.516 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:13.364 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:13.516 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:14.364 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:14.516 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:15.365 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:15.517 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:16.366 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:16.518 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:17.366 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:17.519 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:18.367 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:18.520 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:19.367 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:19.520 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:20.367 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:20.520 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:21.368 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:21.520 DEBUG Server.Server - Socket timeout - no clients pending!
